link,,title,,price,,old_price,,note,
https://link.amazon/B03YHDo15,",",Samsung Galaxy S26 Ultra  256GB Storage  AI Phone  12GB RAM,",",3455,",",5099,",",32% OFF,"https://link.amazon/B03YHDo15,Samsung Galaxy S26 Ultra  256GB Storage  AI Phone  12GB RAM,3455,5099,32% OFF"
https://link.amazon/B01pdfqmV,",",soundcore by Anker Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes,",",179,",",299,",",Best Seller Deal 95K reviews,"https://link.amazon/B01pdfqmV,soundcore by Anker Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes,179,299,Best Seller Deal 95K reviews"
https://link.amazon/B00PuCUZD,",",GARMIN Forerunner 165-43mm  Black | Lightweight GPS Runners Sports Watch with Colourful AMOLED Display ,",",1149,",",,",",Amazon Choice,"https://link.amazon/B00PuCUZD,GARMIN Forerunner 165-43mm  Black | Lightweight GPS Runners Sports Watch with Colourful AMOLED Display ,1149,,Amazon Choice"
https://link.amazon/B0735S5Y4,",",WaterWipes Sensitive+ Newborn & Baby Wipes  12 Packs  720 Total Wipes  99.9% Water  Fragrance Free & Alcohol Free,",",79.5,",",,",",Best Seller,"https://link.amazon/B0735S5Y4,WaterWipes Sensitive+ Newborn & Baby Wipes  12 Packs  720 Total Wipes  99.9% Water  Fragrance Free & Alcohol Free,79.5,,Best Seller"
https://link.amazon/B07Td0w4h,",",Mustela Baby Gentle Cleansing Gel - Baby Hair & Body Wash - with Natural Avocado fortified with Vitamin B5 - Biodegradable Formula & Tear-Free -500ml,",",50,",",75.6,",",34% OFF,"https://link.amazon/B07Td0w4h,Mustela Baby Gentle Cleansing Gel - Baby Hair & Body Wash - with Natural Avocado fortified with Vitamin B5 - Biodegradable Formula & Tear-Free -500ml,50,75.6,34% OFF"
https://link.amazon/B02IMapq1,",",ALASOU 3PCS Suction cup spinner toys for 1 2 Year old boys|Spinning top baby toys 12-18 months|First birthday baby gifts for 1 Year old girls|Sensory toys for toddlers 1-3,",",35,",",,",",Amazon Choice 12K reviews,"https://link.amazon/B02IMapq1,ALASOU 3PCS Suction cup spinner toys for 1 2 Year old boys|Spinning top baby toys 12-18 months|First birthday baby gifts for 1 Year old girls|Sensory toys for toddlers 1-3,35,,Amazon Choice 12K reviews"
https://link.amazon/B0aj7kbQ1,",",Infantino Music&Lights 3-In-1 Discovery Seat & Booster|Activity|Feeding|Interactive Music|Baby/Child Learning & Development|,",",155,",",339,",","54% OFF, 15K reviews","https://link.amazon/B0aj7kbQ1,Infantino Music&Lights 3-In-1 Discovery Seat & Booster|Activity|Feeding|Interactive Music|Baby/Child Learning & Development|,155,339,54% OFF, 15K reviews"
https://link.amazon/B039KhCry,",",Fisher-Price Baby's First Blocks Set  Shape-Sorting Toy,",",44,",",54,",","18% OFF, 71K reviews","https://link.amazon/B039KhCry,Fisher-Price Baby's First Blocks Set  Shape-Sorting Toy,44,54,18% OFF, 71K reviews"
https://link.amazon/B02BMG1FK,",",LeapFrog Alphabet Phonics Bus  Interactive Learning Toy with ABCs and Phonics Sounds  Fun Educational Toy for Toddlers and Preschoolers  Helps Develop Early Reading Skills,",",127,",",229,",","45% OFF, 4K reviews","https://link.amazon/B02BMG1FK,LeapFrog Alphabet Phonics Bus  Interactive Learning Toy with ABCs and Phonics Sounds  Fun Educational Toy for Toddlers and Preschoolers  Helps Develop Early Reading Skills,127,229,45% OFF, 4K reviews"
https://link.amazon/B06WQptuw,",",Fisher-Price Toddler Pull Toy Chatter Telephone Pretend Phone with Rotary Dial and Wheels for Walking Play Ages 1+ years? | Pretend Phone  with Rotary Dial  Wheels  for Walking Play  Ages 1+ years,",",43.83,",",,",",Amazon Choice 30K reviews,"https://link.amazon/B06WQptuw,Fisher-Price Toddler Pull Toy Chatter Telephone Pretend Phone with Rotary Dial and Wheels for Walking Play Ages 1+ years? | Pretend Phone  with Rotary Dial  Wheels  for Walking Play  Ages 1+ years,43.83,,Amazon Choice 30K reviews"
https://link.amazon/B0hrKOHln,",",Nintendo Minecraft - Nintendo Switch,",",129,",",166,",","22% OFF, 44K reviews","https://link.amazon/B0hrKOHln,Nintendo Minecraft - Nintendo Switch,129,166,22% OFF, 44K reviews"
https://link.amazon/B06Hrbbf9,",",New Super Mario Bros. U Deluxe (Nintendo Switch),",",154,",",229,",","33% OFF, 24K reviews","https://link.amazon/B06Hrbbf9,New Super Mario Bros. U Deluxe (Nintendo Switch),154,229,33% OFF, 24K reviews"
https://link.amazon/B04UM4bmW,",",EPOMAKER X AULA F75 MAX Tri-Mode Wireless Gaming Keyboard  TFT Screen  Knob  Hot Swappable  2.4GHz/Type-C/BT5.0  Gasket Creamy  for PC/Mac/Office/Gaming (Black Gradient),",",228,",",305,",","25% OFF, Limited Time Deal","https://link.amazon/B04UM4bmW,EPOMAKER X AULA F75 MAX Tri-Mode Wireless Gaming Keyboard  TFT Screen  Knob  Hot Swappable  2.4GHz/Type-C/BT5.0  Gasket Creamy  for PC/Mac/Office/Gaming (Black Gradient),228,305,25% OFF, Limited Time Deal"
https://link.amazon/B0grnJDT1,",",Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - for PC  Mac  PS4  PS5  Switch  Xbox One  Xbox Series X|S  Mobile - 3.5mm Audio Jack - White,",",139.45,",",269,",","48% OFF, Limited Time Deal","https://link.amazon/B0grnJDT1,Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - for PC  Mac  PS4  PS5  Switch  Xbox One  Xbox Series X|S  Mobile - 3.5mm Audio Jack - White,139.45,269,48% OFF, Limited Time Deal"
https://link.amazon/B0iQbFXWK,",","Lenovo IdeaPad Flex 5 14ABR8 Laptop (UAE Version) | AMD Ryzen 7 5825U  16GB RAM  1TB SSD  AMD Radeon Graphics  14"" WUXGA IPS Display  Arctic Grey  Win11 [82XX00J6AX]",",",2499,",",2999,",","17% OFF, Limited Time Deal","https://link.amazon/B0iQbFXWK,Lenovo IdeaPad Flex 5 14ABR8 Laptop (UAE Version) | AMD Ryzen 7 5825U  16GB RAM  1TB SSD  AMD Radeon Graphics  14"" WUXGA IPS Display  Arctic Grey  Win11 [82XX00J6AX],2499,2999,17% OFF, Limited Time Deal"
https://link.amazon/B06WX6Mdt,",",AIPER Scuba S1 Robotic Pool Cleaner,",",3299,",",3699,",","11% OFF, Limited Time Deal","https://link.amazon/B06WX6Mdt,AIPER Scuba S1 Robotic Pool Cleaner,3299,3699,11% OFF, Limited Time Deal"
